"gene","logFC","AveExpr","t","pvalue","padj"
"CYP51A1",-0.3521,11.5987,-1.5254,0.1272,0.2654
"LRRD1",-0.3618,11.5157,-1.5685,0.1168,0.2502
"KRIT1",-0.2212,10.2409,-1.545,0.1224,0.2587
"ANKIB1",-0.1433,10.9742,-1.0417,0.2976,0.4718
"GATAD1",0.1421,10.4856,0.8458,0.3977,0.5705
"PEX1",0.033,9.7762,0.1863,0.8522,0.916
"RBM48",0.0711,8.8434,0.4655,0.6416,0.7718
"FAM133B",-0.3209,8.4974,-2.2112,0.02702,0.08692
"CDK6",-1.2111,10.6268,-4.681,2.854e-06,6.242e-05
"SAMD9",-0.291,10.2857,-0.7652,0.4442,0.6126
"SAMD9L",-0.0462,10.4763,-0.1427,0.8865,0.9367
"HEPACAM2",1.4211,6.4367,1.9486,0.05134,0.1387
"VPS50",0.3187,9.7631,2.1603,0.03075,0.0959
"CALCR",1.6629,6.3962,3.1526,0.001618,0.0104
"TFPI2",2.7299,8.9575,3.6468,0.0002655,0.002546
"GNGT1",1.0435,6.9345,1.7923,0.07309,0.178
"GNG11",1.3403,10.0697,4.5949,4.33e-06,8.939e-05
"BET1",0.7172,9.6731,3.4579,0.0005444,0.004496
"COL1A2",-0.3164,15.2266,-0.9251,0.3549,0.5294
"CASD1",0.6831,9.9482,3.6031,0.0003144,0.002934
"SGCE",0.3821,9.7606,1.2283,0.2194,0.386
"PEG10",0.7059,10.4248,1.2589,0.2081,0.3732
"PPP1R9A",1.7485,9.3491,4.1914,2.773e-05,0.0004078
"PON1",3.0316,6.501,5.1646,2.41e-07,7.718e-06
"PON3",2.9054,9.4492,6.2251,4.814e-10,3.62e-08
"PON2",1.2059,11.958,4.3164,1.586e-05,0.0002602
"ASB4",2.3401,6.4826,5.1642,2.415e-07,7.719e-06
"PDK4",2.4795,10.5693,5.5254,3.287e-08,1.385e-06
"DYNC1I1",-1.1701,7.7295,-2.5454,0.01092,0.04413
"SLC25A13",-0.1656,9.9732,-0.7575,0.4488,0.6169
"SEM1",-0.4804,11.3335,-2.5966,0.009414,0.03939
"DLX6",-2.8162,6.8022,-3.4226,0.0006203,0.004945
"DLX5",-1.4973,7.3974,-2.1104,0.03483,0.1049
"SDHAF3",0.4384,9.012,1.7696,0.0768,0.1848
"ASNS",-0.6435,9.9749,-2.4468,0.01441,0.05456
"LMTK2",0.1101,10.971,0.5204,0.6028,0.7427
"BHLHA15",1.0688,6.7074,2.4757,0.0133,0.05136
"TECPR1",0.3658,10.2492,1.9229,0.0545,0.1447
"BRI3",0.3794,11.8404,2.039,0.04145,0.1191
"BAIAP2L1",0.0092,11.2114,0.0429,0.9658,0.9813
"NPTX2",0.607,7.2114,1.3711,0.1704,0.3253
"TMEM130",1.4721,8.2894,2.9996,0.002703,0.01551
"TRRAP",-0.2047,11.503,-0.9952,0.3196,0.4955
"SMURF1",0.0352,11.2847,0.2037,0.8386,0.9076
"KPNA7",2.5252,6.691,5.6427,1.674e-08,7.644e-07
"ARPC1A",-0.2961,12.0593,-1.8618,0.06263,0.1595
"RP5-900K19.2",0.3255,13.3256,1.7421,0.0815,0.1928
"ARPC1B",0.6301,12.8148,2.5132,0.01197,0.04723
"PDAP1",-0.3327,11.7627,-2.1951,0.02815,0.08981
"BUD31",-0.0254,11.0445,-0.1218,0.903,0.9469
"CPSF4",-0.4487,9.8651,-2.926,0.003434,0.01852
"PTCD1",-0.0773,10.8176,-0.419,0.6752,0.7961
"ATP5J2-PTCD1",0.2371,10.5802,1.0765,0.2817,0.4556
"ATP5J2",0.4327,11.3389,1.6721,0.09451,0.2154
"ZNF394",-0.1664,9.6067,-1.203,0.229,0.3974
"ZNF789",-0.3574,8.6153,-1.794,0.07282,0.1776
